Roanoke-Blacksburg Regional Airport                    Roanoke                     United States               ROA  KROA   37.32051     -79.97038           5    -5
Arlington Municipal Airport                            Arlington                   United States               AWO  KAWO     48.16070175   -122.1589966   142    -8
Beale Air Force Base                                   Marysville                  United States               BAB  KBAB    39.136100769  -121.43699646   113    -8
Boeing Field King County International Airport         Seattle                     United States               BFI  KBFI   47.5299987793-122.3020019531    21    -8
Meadows Field                                          Bakersfield                 United States               BFL  KBFL     35.43360138   -119.0569992   510    -8
Blythe Airport                                         Blythe                      United States               BLH  KBLH   33.6192016602 -114.717002869   399    -8
Bellingham International Airport                       Bellingham                  United States               BLI  KBLI   48.7928009033-122.5380020142   170    -8
Banning Municipal Airport                              Banning                     United States               BNG  KBNG   33.9230995178 -116.850997925  2219    -8
Bob Hope Airport                                       Burbank                     United States               BUR  KBUR   34.2006988525-118.3590011597   778    -8
Bicycle Lake Army Air Field                            Fort Irwin                  United States               BYS  KBYS   35.2804985046 -116.629997253  2350    -8
Cable Airport                                          Upland                      United States               CCB  KCCB   34.1115989685  -117.68800354  1444    -8
Buchanan Field                                         Concord                     United States               CCR  KCCR   37.9897003174 -122.056999207    26    -8
Jack Mc Namara Field Airport                           Crescent City               United States               CEC  KCEC     41.78020096   -124.2369995    61    -8
Chico Municipal Airport                                Chico                       United States               CIC  KCIC     39.79539871   -121.8580017   240    -8
Mc Clellan-Palomar Airport                             Carlsbad                    United States               CLD  KCRQ     33.12829971   -117.2799988   331    -8
William R Fairchild International Airport              Port Angeles                United States               CLM  KCLM   48.1202011108         -123.5   291    -8
Chehalis Centralia Airport                             Chehalis                    United States               CLS  KCLS   46.6769981384 -122.983001709   176    -8
Chino Airport                                          Chino                       United States               CNO  KCNO     33.97470093    -117.637001   650    -8
Coeur D'Alene - Pappy Boyington Field                  Coeur d'Alene               United States               COE  KCOE     47.77429962   -116.8199997  2320    -8
Corvallis Municipal Airport                            Corvallis                   United States               CVO  KCVO     44.49720001   -123.2900009   250    -8
Vancouver Harbour Water Aerodrome                      Vancouver                   Canada                      CXH  CYHC   49.2943992615 -123.111000061     0    -8
Calexico International Airport                         Calexico                    United States               CXL  KCXL   32.6694984436 -115.513000488     4    -8
Yolo County Davis Woodland Winters Airport             Davis-Woodland-Winters      United States               DWA  KDWA     38.57910156   -121.8570023   100    -8
